,Date,Total_Stocks_Scanned,Stocks_Above_MA20,Stocks_Below_MA20,Stocks_Above_MA50,Stocks_Below_MA50,Stocks_Up_4.5pct_Today,Stocks_Down_4.5pct_Today,Stocks_Up_20pct_5Days,Stocks_Down_20pct_5Days
0,2025-11-03,498,293,205,299,199,16,6,2,0
1,2025-11-04,498,246,252,267,231,5,5,4,0
2,2025-11-06,498,186,312,219,279,6,26,3,0
3,2025-11-07,498,189,309,217,281,8,10,1,0
4,2025-11-10,498,195,303,217,281,14,11,2,2
5,2025-11-11,498,193,305,227,271,14,8,1,1
6,2025-11-12,498,227,271,248,250,17,3,0,1
7,2025-11-13,490,207,283,231,259,6,4,0,1
8,2025-11-14,498,218,280,229,269,13,2,0,0
9,2025-11-17,498,253,245,246,252,11,1,0,0
10,2025-11-18,498,202,296,225,273,2,4,1,0
11,2025-11-19,498,203,295,223,275,6,5,0,0
12,2025-11-20,498,202,296,221,277,4,2,1,0
13,2025-11-21,498,148,350,181,317,1,3,0,0
14,2025-11-24,498,134,364,178,320,8,8,0,0
15,2025-11-25,498,139,359,177,321,3,0,0,0
16,2025-11-26,498,197,301,209,289,11,1,0,0
17,2025-11-27,498,190,308,209,289,5,2,0,0
18,2025-11-28,498,183,315,200,298,1,0,0,0
19,2025-12-01,498,182,316,200,298,6,2,0,0
20,2025-12-02,498,167,331,190,308,4,2,0,0
21,2025-12-03,498,144,354,172,326,0,5,0,0
22,2025-12-04,498,149,349,182,316,6,6,0,0
23,2025-12-05,498,163,335,190,308,2,5,0,1
24,2025-12-08,498,82,416,135,363,1,31,0,1
25,2025-12-09,498,103,395,148,350,10,3,0,0
26,2025-12-10,498,93,405,136,362,2,8,0,1
27,2025-12-11,498,125,373,155,343,10,0,0,0
28,2025-12-12,498,190,308,174,324,17,0,0,0
29,2025-12-15,498,200,298,173,325,8,0,1,0
30,2025-12-16,498,165,333,165,333,8,5,0,0
31,2025-12-17,498,143,355,142,356,3,5,0,0
32,2025-12-18,498,145,353,136,362,6,2,1,0
33,2025-12-19,498,206,292,172,326,24,1,1,0
34,2025-12-22,498,261,237,193,305,14,3,1,0
35,2025-12-23,498,294,204,208,290,7,1,1,0
36,2025-12-24,498,285,213,199,299,6,0,1,0
37,2025-12-26,498,257,241,193,305,11,0,4,0
38,2025-12-29,499,228,271,187,312,3,4,3,0
39,2025-12-30,499,225,274,183,316,11,6,1,0
40,2025-12-31,499,303,196,215,284,13,1,1,0
41,2026-01-01,499,304,195,212,287,6,2,0,0
42,2026-01-02,499,355,144,252,247,17,1,0,1
43,2026-01-05,499,350,149,267,232,6,7,1,0
44,2026-01-06,499,319,180,249,250,4,4,0,0
45,2026-01-07,499,320,179,262,237,9,0,0,1
46,2026-01-08,499,214,285,191,308,0,21,0,0
47,2026-01-09,499,146,353,156,343,0,9,0,0
48,2026-01-12,499,138,361,153,346,4,5,0,0
49,2026-01-13,499,151,348,156,343,7,1,0,0
50,2026-01-14,499,158,341,176,323,10,1,0,1
51,2026-01-15,424,130,294,145,279,0,0,0,1
52,2026-01-16,499,152,347,170,329,12,6,1,0
53,2026-01-19,499,121,378,150,349,5,10,0,0
54,2026-01-20,499,63,436,93,406,0,44,0,0
55,2026-01-21,499,52,447,79,420,6,10,1,0
56,2026-01-22,499,85,414,106,393,20,6,0,1
57,2026-01-23,499,52,447,80,419,3,35,0,1
58,2026-01-27,499,71,428,94,405,19,13,0,2
59,2026-01-28,499,113,386,121,378,65,3,0,2
60,2026-01-29,499,112,387,119,380,15,11,2,2
61,2026-01-30,499,154,345,149,350,26,17,3,2
62,2026-02-02,499,122,377,118,381,8,48,1,0
63,2026-02-03,499,250,249,194,305,97,1,8,0
64,2026-02-04,499,284,215,205,294,23,15,4,0
65,2026-02-05,499,261,238,195,304,10,10,2,1
66,2026-02-06,499,269,230,205,294,14,10,0,0
67,2026-02-09,499,374,125,258,241,54,0,3,0
68,2026-02-10,499,386,113,273,226,14,2,3,0
69,2026-02-11,499,381,118,282,217,12,5,2,0
70,2026-02-12,499,350,149,257,242,3,21,2,0
71,2026-02-13,499,271,228,211,288,5,23,0,0
72,2026-02-16,499,293,206,226,273,10,9,2,0
73,2026-02-17,499,329,170,242,257,8,1,0,0
74,2026-02-18,499,331,168,264,235,11,1,0,1
75,2026-02-19,499,266,233,220,279,4,7,2,1
76,2026-02-20,499,257,242,230,269,4,2,0,0
77,2026-02-23,499,274,225,245,254,5,7,0,0
78,2026-02-24,499,243,256,226,273,3,19,0,0
79,2026-02-25,499,265,234,246,253,10,3,0,0
80,2026-02-26,499,264,235,246,253,8,2,0,0
81,2026-02-27,499,202,297,211,288,8,11,1,0
82,2026-03-02,499,132,367,173,326,2,32,1,0
83,2026-03-04,499,74,425,130,369,6,61,1,0
84,2026-03-05,499,117,382,149,350,19,3,1,0
85,2026-03-06,499,102,397,143,356,12,3,1,0
86,2026-03-09,499,71,428,111,388,2,54,0,0
87,2026-03-10,499,105,394,138,361,40,2,0,0
